clone_code_id,desired_base_code_id,original_order,reranked_order,original_hit_at_1,reranked_hit_at_1,original_hit_at_5,reranked_hit_at_5,judge_error
rnts_1_2,rnts,nwyq|mkrg|fohg|9zhw|xzjr,mkrg|fohg|xzjr|nwyq|9zhw,False,False,False,False,
3ylr_1_4,3ylr,3ylr|xgde|hvm9|kylk|eclp,3ylr|hvm9|kylk|eclp|xgde,True,True,True,True,
mvf7_1_2,mvf7,mvf7|xzjr|fadi|gk49|pbkw,mvf7|gk49|fadi|pbkw|xzjr,True,True,True,True,
weyl_1_2,weyl,weyl|1p2x|lulo|66jk|fxwu,weyl|1p2x|66jk|lulo|fxwu,True,True,True,True,
nj4u_1_1,nj4u,nj4u|fs16|lulo|tm4q|broc,nj4u|fs16|broc|lulo|tm4q,True,True,True,True,
xgde_1_2,xgde,xgde|lz3m|6m44|botm|ie13,xgde|lz3m|ie13|6m44|botm,True,True,True,True,
02we_1_3,02we,02we|gd41|4xjt|hkf5|rn0o,02we|4xjt|hkf5|gd41|rn0o,True,True,True,True,
cm3x_1_4,cm3x,cm3x|kz33|6b4u|vgpt|nwyq,cm3x|nwyq|6b4u|vgpt|kz33,True,True,True,True,
ffk8_1_1,ffk8,ffk8|g8x0|5vdq|ltin|6m44,ffk8|g8x0|ltin|5vdq|6m44,True,True,True,True,
s1ie_1_2,s1ie,s1ie|7sb0|ltin|xgqp|s5tp,s1ie|7sb0|ltin|xgqp|s5tp,True,True,True,True,
3ofh_1_1,3ofh,3ofh|7wyx|g50e|thny|o189,3ofh|thny|o189|7wyx|g50e,True,True,True,True,
iqxk_1_3,iqxk,iqxk|z19x|5obo|unae|xj0w,iqxk|z19x|5obo|unae|xj0w,True,True,True,True,
fvks_1_3,fvks,fvks|pzf1|mhll|7osc|tv0a,fvks|pzf1|7osc|tv0a|mhll,True,True,True,True,
5asq_1_4,5asq,5asq|xmsi|k95u|f30o|7sb0,5asq|xmsi|k95u|f30o|7sb0,True,True,True,True,
jb1v_1_1,jb1v,jb1v|bqve|onnt|bbm4|8xtd,jb1v|bqve|bbm4|8xtd|onnt,True,True,True,True,
z5ze_1_2,z5ze,z5ze|i8vr|m41x|bvp0|dk3a,z5ze|bvp0|dk3a|i8vr|m41x,True,True,True,True,
5p2p_1_1,5p2p,5p2p|7efm|rsnj|dk3a|65a4,5p2p|7efm|rsnj|dk3a|65a4,True,True,True,True,
b8qb_1_3,b8qb,b8qb|ch2m|l3lf|vs3p|92ie,b8qb|ch2m|l3lf|92ie|vs3p,True,True,True,True,
3ria_1_1,3ria,3ria|nrxw|zb08|mrm9|alrq,3ria|zb08|nrxw|alrq|mrm9,True,True,True,True,
2hzk_1_4,2hzk,66jk|yqd5|lgzz|ie13|6gf3,66jk|yqd5|lgzz|ie13|6gf3,False,False,False,False,
gaci_2_3,gaci,gaci|604d|5g3q|q7vo|ncju,gaci|604d|q7vo|ncju|5g3q,True,True,True,True,
8m72_2_1,8m72,teu7|8m72|6gf3|xio9|lp0z,8m72|6gf3|xio9|lp0z|teu7,False,True,True,True,
xgav_2_2,xgav,xgav|hkf5|6m44|35ua|pnde,xgav|35ua|6m44|pnde|hkf5,True,True,True,True,
8tjj_2_3,8tjj,8tjj|txbb|vatl|e3q8|fzeb,8tjj|txbb|fzeb|vatl|e3q8,True,True,True,True,
lz3m_2_1,lz3m,lz3m|hofm|48dn|wn7y|8aet,lz3m|48dn|wn7y|8aet|hofm,True,True,True,True,
x8po_2_1,x8po,x8po|gl93|gjmf|v45d|khwm,x8po|gjmf|v45d|khwm|gl93,True,True,True,True,
vuiq_2_2,vuiq,vuiq|0jwi|82uo|vzvl|ie13,vuiq|0jwi|82uo|vzvl|ie13,True,True,True,True,
wraj_2_1,wraj,wraj|kxnt|v2l7|5fez|fs5o,wraj|v2l7|kxnt|5fez|fs5o,True,True,True,True,
05nu_2_3,05nu,05nu|kw6r|al4f|nk3m|55a2,05nu|kw6r|nk3m|55a2|al4f,True,True,True,True,
05nu_2_2,05nu,05nu|kw6r|nk3m|al4f|55a2,05nu|kw6r|nk3m|55a2|al4f,True,True,True,True,
4ly3_2_3,4ly3,4ly3|gweq|ehjn|m8bj|ie13,4ly3|gweq|ehjn|m8bj|ie13,True,True,True,True,
fxwu_2_1,fxwu,fxwu|6m44|ebsx|yfg4|xgde,fxwu|6m44|xgde|yfg4|ebsx,True,True,True,True,
a8mo_2_1,a8mo,604d|i3v2|gaci|5ygu|e5v2,5ygu|e5v2|604d|i3v2|gaci,False,False,False,False,
ywd5_2_3,ywd5,55a2|nk3m|kw6r|05nu|al4f,nk3m|kw6r|05nu|al4f|55a2,False,False,False,False,
wmk1_2_3,wmk1,wmk1|v3ie|0shb|z5z2|l6z2,wmk1|v3ie|z5z2|l6z2|0shb,True,True,True,True,
3n1s_2_3,3n1s,3n1s|8aet|eyen|uqdg|uaae,3n1s|8aet|uqdg|uaae|eyen,True,True,True,True,
ulvd_2_1,ulvd,ulvd|rfkk|48dn|lgzz|09hz,ulvd|rfkk|lgzz|09hz|48dn,True,True,True,True,
z61u_2_2,z61u,z61u|7sb0|ipnj|vl8a|4ly3,z61u|4ly3|ipnj|vl8a|7sb0,True,True,True,True,
sktf_2_3,sktf,sktf|l6z2|7sb0|k95u|don9,sktf|l6z2|7sb0|k95u|don9,True,True,True,True,
bqve_2_2,bqve,bqve|jb1v|onnt|bncn|09hz,bqve|09hz|bncn|jb1v|onnt,True,True,True,True,
tngf_2_2,tngf,tngf|dmj4|pnde|s5tp|y0hc,tngf|dmj4|s5tp|y0hc|pnde,True,True,True,True,
dbl0_2_1,dbl0,dbl0|msgu|irbm|fe0k|5vdq,dbl0|msgu|irbm|fe0k|5vdq,True,True,True,True,
5pw5_2_3,5pw5,5pw5|lgfd|15pr|xzti|gjmf,5pw5|lgfd|15pr|xzti|gjmf,True,True,True,True,
hoxo_2_2,hoxo,hoxo|8aet|rbl4|zvki|xio9,hoxo|rbl4|8aet|xio9|zvki,True,True,True,True,
i1eg_2_3,i1eg,hofm|4gkf|9lff|5ts6|eyen,4gkf|5ts6|eyen|hofm|9lff,False,False,False,False,
l3lf_2_3,l3lf,l3lf|rgo0|s5tp|mlnc|ch2m,l3lf|s5tp|ch2m|rgo0|mlnc,True,True,True,True,
0zj6_2_1,0zj6,q79r|35ua|ebsx|5g3q|m8bj,35ua|m8bj|ebsx|q79r|5g3q,False,False,False,False,
1e5j_2_3,1e5j,1e5j|66jk|f30o|kenx|83zh,1e5j|f30o|83zh|66jk|kenx,True,True,True,True,
heax_2_2,heax,heax|lwcj|4wyc|rut1|p29c,heax|4wyc|lwcj|rut1|p29c,True,True,True,True,
83zh_2_1,83zh,83zh|kenx|6b4u|dnpk|ehjn,83zh|6b4u|ehjn|kenx|dnpk,True,True,True,True,
td6c_2_2,td6c,td6c|15pr|2rj6|vgpt|21bf,td6c|2rj6|21bf|15pr|vgpt,True,True,True,True,
ov0x_2_2,ov0x,ov0x|3iob|2zyg|qez4|f87r,ov0x|f87r|3iob|qez4|2zyg,True,True,True,True,
7d4m_2_3,7d4m,7d4m|rn0o|kmw2|1twf|don9,7d4m|kmw2|1twf|rn0o|don9,True,True,True,True,
zcth_2_2,zcth,zcth|le0k|bdjz|q6wn|tngf,zcth|le0k|bdjz|q6wn|tngf,True,True,True,True,
21ld_2_1,21ld,21ld|10i0|z19x|zk5x|bncn,21ld|10i0|zk5x|z19x|bncn,True,True,True,True,
wmk1_2_2,wmk1,wmk1|0shb|l6z2|v3ie|rgo0,wmk1|l6z2|rgo0|0shb|v3ie,True,True,True,True,
1d9r_2_3,1d9r,rbl4|fn2l|1d9r|le0k|w9y7,1d9r|rbl4|le0k|fn2l|w9y7,False,True,True,True,
6gpo_2_3,6gpo,6gpo|gk49|hk2o|12q6|2rj6,6gpo|hk2o|12q6|2rj6|gk49,True,True,True,True,
v2l7_2_2,v2l7,ebsx|dam1|hkf5|0twf|g8vw,ebsx|dam1|hkf5|0twf|g8vw,False,False,False,False,
nsmy_2_3,nsmy,nsmy|qs8i|3iey|eyn3|4xjt,nsmy|3iey|eyn3|4xjt|qs8i,True,True,True,True,
02we_3_2,02we,02we|gd41|ltin|bbm4|s5tp,02we|gd41|ltin|bbm4|s5tp,True,True,True,True,
m8bj_3_3,m8bj,m8bj|ie13|5g3q|ehjn|p9zs,m8bj|ehjn|p9zs|5g3q|ie13,True,True,True,True,
alrq_3_2,alrq,exko|alrq|bqn4|05nu|lt4v,exko|alrq|05nu|lt4v|bqn4,False,False,True,True,
pktw_3_1,pktw,pktw|pwir|7nnt|1twf|5oc8,pktw|pwir|7nnt|5oc8|1twf,True,True,True,True,
6mvc_3_1,6mvc,6mvc|bpet|7sb0|ipnj|5asq,6mvc|bpet|ipnj|5asq|7sb0,True,True,True,True,
82uo_3_2,82uo,82uo|vzvl|bmrm|e3lo|worp,82uo|vzvl|bmrm|e3lo|worp,True,True,True,True,
ltin_3_4,ltin,ltin|x09n|al59|dmj4|6m44,ltin|x09n|dmj4|6m44|al59,True,True,True,True,
3bp9_3_1,3bp9,3bp9|hghj|k95u|wn9d|zb08,3bp9|hghj|k95u|wn9d|zb08,True,True,True,True,
22vg_3_3,22vg,22vg|igoc|yfg4|35ua|eyen,22vg|yfg4|35ua|igoc|eyen,True,True,True,True,
qfkh_3_4,qfkh,qfkh|thed|ruee|eclp|o0a5,qfkh|eclp|o0a5|thed|ruee,True,True,True,True,
rfkk_3_4,rfkk,rfkk|hofm|lgzz|fn2l|w9y7,rfkk|lgzz|fn2l|w9y7|hofm,True,True,True,True,
bjwj_3_2,bjwj,y0hc|a5t3|ep39|g8x0|gf9b,a5t3|y0hc|ep39|g8x0|gf9b,False,False,False,False,
worp_3_4,worp,worp|6j8g|a55g|2zyg|o189,worp|a55g|2zyg|o189|6j8g,True,True,True,True,
4wyc_3_4,4wyc,4wyc|fs16|rut1|tm4q|zafz,4wyc|fs16|tm4q|rut1|zafz,True,True,True,True,
pbkw_3_4,pbkw,pbkw|hk2o|gk49|al4f|12q6,pbkw|12q6|al4f|gk49|hk2o,True,True,True,True,
6dg1_3_2,6dg1,6dg1|3ysz|13cy|fadi|9zhw,6dg1|13cy|fadi|9zhw|3ysz,True,True,True,True,
qfkh_3_1,qfkh,qfkh|thed|ruee|eclp|lz3m,qfkh|eclp|lz3m|thed|ruee,True,True,True,True,
efc6_3_2,efc6,efc6|hk2o|re5j|qiaq|bqn4,efc6|re5j|bqn4|hk2o|qiaq,True,True,True,True,
odwl_3_2,odwl,odwl|rvkk|lgfd|5pw5|ncju,odwl|lgfd|5pw5|rvkk|ncju,True,True,True,True,
gujk_3_1,gujk,gujk|ov0x|lvo3|z19x|i1eg,gujk|ov0x|i1eg|lvo3|z19x,True,True,True,True,
rnts_3_2,rnts,9zhw|nwyq|fohg|mkrg|494o,9zhw|fohg|mkrg|nwyq|494o,False,False,False,False,
3ylr_3_4,3ylr,3ylr|lgzz|8aet|hoxo|fn2l,3ylr|lgzz|8aet|hoxo|fn2l,True,True,True,True,
mvf7_3_2,mvf7,mvf7|xzjr|fadi|alrq|re5j,mvf7|xzjr|alrq|fadi|re5j,True,True,True,True,
weyl_3_2,weyl,weyl|1p2x|lulo|66jk|fxwu,weyl|lulo|66jk|fxwu|1p2x,True,True,True,True,
nj4u_3_1,nj4u,nj4u|fs16|tm4q|d1vt|66jk,nj4u|fs16|tm4q|d1vt|66jk,True,True,True,True,
xgde_3_2,xgde,xgde|ie13|6m44|lz3m|y0hc,xgde|ie13|6m44|lz3m|y0hc,True,True,True,True,
02we_3_3,02we,02we|gd41|4xjt|qqia|hkf5,02we|4xjt|qqia|hkf5|gd41,True,True,True,True,
cm3x_3_4,cm3x,cm3x|kz33|6b4u|83zh|5g3q,cm3x|6b4u|5g3q|kz33|83zh,True,True,True,True,
ffk8_3_1,ffk8,ffk8|g8x0|5vdq|6m44|ltin,ffk8|5vdq|6m44|g8x0|ltin,True,True,True,True,
s1ie_3_2,s1ie,s1ie|xgqp|s5tp|7sb0|ltin,s1ie|xgqp|ltin|s5tp|7sb0,True,True,True,True,
3ofh_3_1,3ofh,3ofh|7wyx|g50e|thny|o189,3ofh|o189|thny|g50e|7wyx,True,True,True,True,
iqxk_3_3,iqxk,iqxk|z19x|5obo|unae|v2l7,iqxk|z19x|5obo|unae|v2l7,True,True,True,True,
fvks_3_3,fvks,fvks|pzf1|7osc|mhll|tv0a,fvks|pzf1|7osc|mhll|tv0a,True,True,True,True,
5asq_3_4,5asq,5asq|xmsi|1p2x|f30o|7sb0,5asq|xmsi|1p2x|f30o|7sb0,True,True,True,True,
jb1v_3_1,jb1v,jb1v|bqve|onnt|npb1|9cev,jb1v|npb1|9cev|bqve|onnt,True,True,True,True,
z5ze_3_2,z5ze,z5ze|bvp0|m41x|3mdl|i8vr,z5ze|3mdl|m41x|i8vr|bvp0,True,True,True,True,
5p2p_3_1,5p2p,c64u|5p2p|xcje|g70a|nrxw,5p2p|nrxw|g70a|c64u|xcje,False,True,True,True,
b8qb_3_3,b8qb,b8qb|ch2m|l3lf|vs3p|92ie,b8qb|ch2m|l3lf|92ie|vs3p,True,True,True,True,
3ria_3_1,3ria,alrq|6.60E+06|qisl|e1hj|re5j,qisl|alrq|re5j|e1hj|6.60E+06,False,False,False,False,
2hzk_3_4,2hzk,83zh|5g3q|yqd5|6gf3|ie13,83zh|5g3q|6gf3|ie13|yqd5,False,False,False,False,
604d_4_2,604d,e1hj|gk49|12q6|2rj6|mgq5|gr94|hpem|wsz6|h2gl|p9zs|604d|1a3u|ui00|pr5a|gjmf,e1hj|gk49|12q6|2rj6|mgq5|gr94|hpem|wsz6|h2gl|p9zs|604d|1a3u|ui00|pr5a|gjmf,False,False,True,True,
u1n4_4_1,u1n4,efc6|hk2o|12q6|qiaq|6gpo,6gpo|efc6|hk2o|qiaq|12q6,False,False,False,False,
qb9m_4_1,qb9m,qb9m|zmc0|v3ie|m8bj|l6z2,qb9m|zmc0|v3ie|m8bj|l6z2,True,True,True,True,
gugu_4_1,gugu,gugu|zk5x|hvxk|p29c|ipio,gugu|p29c|hvxk|ipio|zk5x,True,True,True,True,
v3ie_4_2,v3ie,ltvh|hq8t|zb08|bmrm|sl0k|o189|362p|nrxw|13cy|72td|v93v|i1ru|o0a5|aq13|qtrk|0shb|rgo0|ehjn|e3q8|lys2|bqn4|mrm9|exko|alrq|re5j,ltvh|hq8t|zb08|bmrm|sl0k|o189|362p|nrxw|13cy|72td|v93v|i1ru|o0a5|aq13|qtrk|0shb|rgo0|ehjn|e3q8|lys2|bqn4|mrm9|exko|alrq|re5j,False,False,False,False,
cm3x_4_1,cm3x,cm3x|kz33|xgeo|bmrm|lc3c,cm3x|bmrm|xgeo|kz33|lc3c,True,True,True,True,
c1ms_4_2,c1ms,nk3m|05nu|kw6r|55a2|al4f|e5v2|odwl|28td|gaci|sawn|rvkk|0f2q|e5v2|i9sg|5pw5,nk3m|05nu|kw6r|55a2|al4f|i9sg|e5v2|0f2q|odwl|sawn|28td|rvkk|5pw5|gaci,False,False,False,False,
0a3n_4_1,0a3n,0a3n|69jf|fs16|butf|exuo,0a3n|fs16|69jf|butf|exuo,True,True,True,True,
1twf_4_1,1twf,1twf|35ua|hkf5|gd41|8d1q,1twf|35ua|hkf5|gd41|8d1q,True,True,True,True,
7nnt_4_2,7nnt,5oc8|ebsx|hkf5|0twf|pktw|hvm9|dprd|js0u|fzeb|bdjz|6gf3|3773|5g3q|sl0k|4ixo|0fyp|i9sg|pmjo|tvv6|3773|7nnt|fzeb|a8mo|2oty|s5uf,5oc8|ebsx|hkf5|0twf|pktw|hvm9|dprd|js0u|fzeb|bdjz|6gf3|3773|5g3q|sl0k|4ixo|0fyp|i9sg|pmjo|tvv6|3773|7nnt|fzeb|a8mo|2oty|s5uf,False,False,True,True,
lni4_4_2,lni4,lni4|ie9v|3ti0|xcje|3mdl|lni4|ie9v|xcje|c64u|nrxw|lni4|ie9v|xcje|lc3c|3mdl|3ti0|rvkk|lc3c|9hpn|eghj,lni4|ie9v|3ti0|xcje|3mdl|lni4|ie9v|xcje|c64u|nrxw|lni4|ie9v|xcje|lc3c|3mdl|3ti0|rvkk|lc3c|9hpn|eghj,True,True,True,True,
6ed9_4_2,6ed9,ti40|qfkh|c6w6|worp|a55g|ti40|ky3n|dnpk|6ed9|bmrm|i1ru|p29c|qtrk|48dn|z61u|6ed9|ebsx|4xjt|66jk|f30o|wb7a|ltin|x09n|b8qb|i6f2,ti40|qfkh|c6w6|worp|a55g|ti40|ky3n|dnpk|6ed9|bmrm|i1ru|p29c|qtrk|48dn|z61u|6ed9|ebsx|4xjt|66jk|f30o|wb7a|ltin|x09n|b8qb|i6f2,False,False,True,True,
ebsx_4_2,ebsx,a55g|qfkh|09hz|hvm9|i1ru|i1ru|09hz|aq13|hofm|2oty|ebsx|rat4|5g3q|ie13|e3q8,a55g|qfkh|09hz|hvm9|i1ru|i1ru|09hz|aq13|hofm|2oty|ebsx|rat4|5g3q|ie13|e3q8,False,False,True,True,
zb08_4_1,zb08,yu0q|efc6|e1hj|12q6|6gpo,yu0q|efc6|e1hj|6gpo|12q6,False,False,False,False,
3ysz_4_2,3ysz,g7cu|fs16|yhfo|lwcj|1tri,fs16|yhfo|lwcj|1tri|g7cu,False,False,False,False,
rbl4_4_2,rbl4,3iob|2zyg|worp|exw6|a55g|aq13|8m72|dzp7|w9y7|xio9,exw6|aq13|dzp7|3iob|2zyg|a55g|8m72|w9y7|worp|xio9,False,False,False,False,
9s5e_4_1,9s5e,9s5e|vl8a|ipnj|4ly3|don9,9s5e|ipnj|don9|vl8a|4ly3,True,True,True,True,
tvv6_4_2,tvv6,tvv6|gjmf|ui00|q7vo|zn2a|6b4u|3773|ui00|5g3q|ncju|lp0z|teu7|6gf3|xio9|s0t8|gjmf|0fyp|ui00|6b4u|zivw|yfg4|ep39|q6wn|fxwu|ulvd,tvv6|gjmf|ui00|q7vo|zn2a|6b4u|3773|ui00|5g3q|ncju|lp0z|teu7|6gf3|xio9|s0t8|gjmf|0fyp|ui00|6b4u|zivw|yfg4|ep39|q6wn|fxwu|ulvd,True,True,True,True,
o189_4_1,o189,o189|90u3|hq8t|sl0k|p9zs,o189|sl0k|hq8t|p9zs|90u3,True,True,True,True,
fjzi_4_2,fjzi,xgde|4yoz|sawn|8tjj|rat4|28td|sawn|rhej|ipnj|resw|wmk1|ipnj|ei65|z5z2|l6z2|fjzi|g3s6|8r66|kqgv|trhw|b8qb|l3lf|zubk|irbm|wb7a,xgde|4yoz|sawn|8tjj|rat4|28td|sawn|rhej|ipnj|resw|wmk1|ipnj|ei65|z5z2|l6z2|fjzi|g3s6|8r66|kqgv|trhw|b8qb|l3lf|zubk|irbm|wb7a,False,False,True,True,
m8bj_4_2,m8bj,xio9|lp0z|i1ru|w9y7|6gxp,i1ru|xio9|6gxp|w9y7|lp0z,False,False,False,False,
b3x6_4_1,b3x6,b3x6|exuo|vuiq|96p8|ebsx,b3x6|vuiq|96p8|ebsx|exuo,True,True,True,True,
hqe0_4_2,hqe0,yhfo|exw6|heax|lwcj|2wy8|hqe0|g7cu|nu4u|7osc|zk5x,hqe0|exw6|lwcj|2wy8|nu4u|zk5x|yhfo|heax|g7cu|7osc,False,True,True,True,
1jfv_4_2,1jfv,1jfv|05nu|al4f|nk3m|kw6r|1jfv|ihua|c1ms|2rj6|al4f|pbkw|2rj6|e1hj|1jfv|alrq|1jfv|al4f|05nu|ihua|yu0q|1jfv|ihua|m4kk|2rj6|al4f,1jfv|05nu|al4f|nk3m|kw6r|c1ms|pbkw|e1hj|yu0q|ihua|alrq|2rj6|m4kk,True,True,True,True,
jajy_4_1,jajy,jajy|lz3m|9lff|fn2l|hofm,jajy|hofm|lz3m|fn2l|9lff,True,True,True,True,
d2ra_4_1,d2ra,d2ra|6.60E+06|mvf7|alrq|6gpo,d2ra|mvf7|6gpo|alrq|6.60E+06,True,True,True,True,
bhc0_4_2,bhc0,rsnj|p9zs|zb08|9zhw|494o|z61u|o189|qfkh|wk6r|nrxw|don9|4ixo|ipnj|dnpk|4ly3|1a3u|s8gy|gjmf|zivw|gl93,rsnj|p9zs|zb08|9zhw|494o|z61u|o189|qfkh|wk6r|nrxw|don9|4ixo|ipnj|dnpk|4ly3|1a3u|s8gy|gjmf|zivw|gl93,False,False,False,False,
h8uz_4_1,h8uz,h8uz|s5tp|9s5e|msgu|ltin,h8uz|s5tp|msgu|ltin|9s5e,True,True,True,True,
tv0a_4_1,tv0a,tv0a|mhll|dzp7|pzf1|5g8a,tv0a|mhll|dzp7|pzf1|5g8a,True,True,True,True,
5oc8_4_2,5oc8,gjmf|0fjf|khwm|ham7|vgpt|dl9h|akfb|604d|uaae|g8vw|worp|o189|6j8g|h2gl|a55g|gjmf|khwm|zn2a|i9sg|vgpt|604d|1a3u|gjmf|s8gy|hxtd,gjmf|0fjf|khwm|ham7|vgpt|dl9h|akfb|604d|uaae|g8vw|worp|o189|6j8g|h2gl|a55g|gjmf|khwm|zn2a|i9sg|vgpt|604d|1a3u|gjmf|s8gy|hxtd,False,False,False,False,
6tuj_4_1,6tuj,6tuj|g8x0|ebsx|35ua|ajpl,6tuj|35ua|g8x0|ebsx|ajpl,True,True,True,True,
c1l5_4_1,c1l5,fxwu|1p2x|z62p|xtug|96p8,xtug|fxwu|96p8|1p2x|z62p,False,False,False,False,
akfb_4_2,akfb,akfb|js0u|604d|z5ke|5ygu|pmjo|sl0k|o189|ky3n|wsz6|js0u|hpem|sl0k|6gf3|akfb|akfb|gaci|604d|pr5a|i3v2|akfb|js0u|hpem|yfg4|pmjo,akfb|js0u|604d|z5ke|5ygu|pmjo|sl0k|o189|ky3n|wsz6|hpem|6gf3|gaci|pr5a|i3v2|yfg4,True,True,True,True,
gk49_4_2,gk49,gjmf|gl93|s8gy|ui00|zn2a|gk49|6gpo|2rj6|td6c|12q6|ui00|21bf|khwm|vgpt|nwyq|gjmf|gl93|zn2a|ui00|xzti|gk49|pbkw|c1ms|1jfv|8xla,gk49|gl93|s8gy|ui00|zn2a|6gpo|td6c|12q6|21bf|khwm|vgpt|nwyq|xzti|pbkw|c1ms|1jfv|8xla|gjmf|2rj6,False,True,True,True,
nwyq_4_1,nwyq,nwyq|tvv6|qiaq|zmc0|494o,nwyq|tvv6|494o|qiaq|zmc0,True,True,True,True,
g50e_4_1,g50e,g50e|tvv6|nwyq|21bf|vgpt,g50e|nwyq|tvv6|21bf|vgpt,True,True,True,True,
tkub_4_2,tkub,eclp|gh5x|5irf|qfkh|zqka|z5ke|5g3q|4ixo|yqd5|pr5a|yqd5|4ixo|z5ke|8qhl|6gf3|pr5a|ehjn|5g3q|kenx|4ly3|yfg4|igoc|6m44|z5ke|5g3q,eclp|gh5x|5irf|qfkh|zqka|z5ke|5g3q|4ixo|yqd5|pr5a|yqd5|4ixo|z5ke|8qhl|6gf3|pr5a|ehjn|5g3q|kenx|4ly3|yfg4|igoc|6m44|z5ke|5g3q,False,False,False,False,
js0u_4_2,js0u,pktw|akfb|604d|28td|5ygu|js0u|dprd|hvm9|botm|5irf|hui2|5g8a|qfkh|sw3v|tv0a|op38|q49y|q2s4|5pw5|15pr,pktw|akfb|604d|28td|5ygu|js0u|dprd|hvm9|botm|5irf|hui2|5g8a|qfkh|sw3v|tv0a|op38|q49y|q2s4|5pw5|15pr,False,False,True,True,
xj0w_4_1,xj0w,xj0w|lvo3|iqxk|z19x|c1l5,xj0w|lvo3|iqxk|z19x|c1l5,True,True,True,True,
vs3p_4_1,vs3p,vs3p|febv|3ofh|qtrk|cbrw,vs3p|3ofh|qtrk|cbrw|febv,True,True,True,True,
